Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
AA,1303,TPA,DFW,6,500,170,
YV,7265,PIT,ORD,2,821,93,0
FL,420,ATL,PNS,5,1330,75,0
B6,98,DEN,JFK,7,59,213,0
MQ,3923,FSD,ORD,5,390,105,0
UA,623,ORD,MSP,6,1078,93,0
US,528,PHX,RNO,1,1275,112,0
XE,2491,JAX,IAH,5,521,156,0
B6,378,FLL,LGA,2,1091,169,0
DL,1827,ATL,FLL,2,670,114,1
OO,6485,SFO,CEC,5,713,93,0
OO,6464,ELP,DEN,1,394,112,
9E,3670,ATL,TYS,5,1219,65,0
EV,5145,TUL,ATL,3,653,117,0
WN,941,MSY,HOU,7,555,75,1
OO,6496,LAX,COS,2,1251,127,1
DL,2044,DTW,DCA,4,1165,90,1
FL,533,MEM,ATL,3,430,76,1
OO,6441,DEN,DAY,3,650,159,0
XE,2347,MSP,IAH,2,885,174,0
DL,1806,LAX,DTW,4,805,270,
OO,7793,SUN,SLC,6,1070,66,0
AA,2041,DCA,MIA,6,500,165,0
DL,1650,MSP,PHL,3,925,165,1
WN,3230,ELP,AUS,1,885,85,1
WN,2450,TUS,LAS,3,795,80,1
OO,4676,BOI,MSP,5,637,172,0
DL,1261,CLT,MEM,2,395,124,1
DL,1901,BOS,ATL,3,510,185,0
EV,7315,GSP,ATL,5,682,58,0
EV,5255,ELM,DTW,2,375,98,0
OH,6275,SDF,DTW,6,765,102,0
MQ,2759,DFW,CRP,3,890,80,1
DL,1858,ATL,RDU,4,452,83,0
HA,240,LIH,HNL,7,1060,30,1
DL,1752,ATL,IAD,5,1310,109,0
US,497,EWR,CLT,5,1050,122,0
DL,2744,SAN,MSP,4,715,219,1
DL,2059,ATL,SAT,3,1313,167,0
US,1513,CLT,PHX,6,779,276,0
DL,2676,ATL,BUF,2,1229,125,0
YV,7274,CLT,ORD,4,1150,129,1
AA,1349,OKC,DFW,3,1100,60,
9E,4388,DTW,MSN,5,540,87,1
UA,148,IAD,MCO,7,897,142,1
OO,4532,SLC,FCA,2,1310,102,0
EV,5003,MEM,XNA,5,870,71,0
CO,1740,SMF,IAH,2,1439,197,1
US,881,CLT,FLL,6,705,127,1
WN,301,PHX,SNA,1,555,80,1
WN,3503,BDL,MDW,4,775,155,0
MQ,4152,AZO,ORD,5,370,60,1
WN,2995,LAS,BDL,6,855,295,1
UA,497,MSY,ORD,7,1029,148,0
US,1270,PIT,PHL,2,460,80,0
US,791,SJU,CLT,1,1060,234,0
FL,328,SFO,ATL,5,1439,270,0
XE,2476,EWR,CVG,3,816,129,0
MQ,3944,JFK,BWI,5,1049,76,0
OO,6416,SFO,ABQ,4,914,136,1
OH,6313,CVG,HTS,5,810,52,1
DL,1944,SAT,DTW,3,990,177,1
AA,1121,IAH,DFW,6,990,75,
AA,617,DFW,SAN,2,755,195,0
UA,94,PHX,SFO,5,859,128,0
B6,509,EWR,FLL,7,929,183,0
UA,683,LGA,ORD,1,838,158,1
WN,1976,IND,MCI,4,975,100,1
DL,1090,PNS,ATL,5,560,70,0
WN,1925,PHX,SJC,6,450,125,0
OO,6464,ELP,DEN,6,390,115,
US,365,BWI,PHX,3,400,320,1
AA,474,ABQ,DFW,1,560,105,
MQ,4116,ORD,MEM,1,870,110,0
AA,544,DFW,MCO,7,860,145,1
DL,2445,CVG,LAS,7,1230,261,1
9E,4310,MEM,ATL,7,455,93,1
EV,5165,AGS,ATL,4,340,61,0
WN,3074,MHT,MCO,2,820,205,1
EV,5517,CAE,ATL,4,995,74,1
XE,2266,IAH,ATL,5,685,121,1
OO,6829,SMF,SFO,3,362,48,0
US,1848,MSP,PHL,6,425,160,0
AA,754,MCI,ORD,1,630,95,0
MQ,4482,RDU,DCA,4,500,60,0
US,1471,ORD,CLT,1,970,111,1
WN,1940,MDW,MCO,6,965,160,0
F9,575,DEN,SLC,1,900,83,0
US,903,ORD,CLT,4,850,112,1
AA,889,ORD,LAX,2,1115,270,1
UA,735,OKC,DEN,1,812,106,
MQ,4172,JFK,CLE,1,895,115,0
B6,748,SJU,MCO,3,1121,182,1
WN,2543,MDW,DTW,4,470,70,0
WN,2903,MDW,BHM,3,1145,105,0
WN,1468,STL,BNA,2,420,65,0
WN,1174,BNA,BWI,7,1005,100,0
9E,4270,CVG,FWA,3,815,56,0
DL,2267,BDL,ATL,5,1087,166,1
WN,314,SDF,BWI,7,640,85,0
WN,3333,DAL,MAF,4,1090,70,1
XE,3002,IAH,BNA,4,630,108,0
DL,1892,TPA,DTW,4,698,166,0
UA,34,OGG,SFO,2,833,287,0
B6,592,MCO,HPN,7,470,152,1
MQ,3919,LIT,ORD,3,830,110,1
F9,725,DCA,DEN,5,1095,239,
B6,105,BUF,JFK,4,1360,77,1
UA,889,LAX,SFO,2,506,96,1
MQ,2774,DFW,CRP,7,1355,75,1
WN,1180,PHX,ABQ,4,1130,65,1
F9,465,PIE,MKE,2,723,168,1
FL,818,BOS,BWI,6,1075,94,0
AA,1954,LAX,SFO,5,890,80,0
WN,1289,SEA,SMF,3,465,105,0
US,1784,LAS,CLT,2,680,249,0
B6,204,LGB,JFK,7,556,314,0
FL,1217,MDW,SRQ,4,885,148,1
B6,702,SJU,JFK,3,550,238,1
AS,66,CDV,YAK,2,1018,50,1
WN,225,OAK,LAX,7,1120,75,1
AA,270,HNL,LAX,2,500,330,0
WN,2938,MCO,MDW,6,990,170,0
US,302,PHX,CLT,2,570,230,0
B6,470,RSW,BOS,6,1170,171,1
DL,1618,MCO,ATL,3,450,110,0
US,602,PHX,LAS,6,590,80,1
MQ,3859,IAH,ORD,4,405,155,0
US,27,PHX,LAX,2,670,92,1
CO,1541,IAH,AUS,5,860,52,1
WN,987,MDW,DEN,1,595,165,
EV,5597,AGS,ATL,3,507,72,0
9E,3981,CVG,MSP,4,800,130,0
US,1697,CLT,RSW,4,985,117,0
AA,1910,LAX,LAS,4,705,75,1
XE,2834,IAH,JAN,6,1011,70,1
OO,4712,SAN,LAX,5,570,49,1
US,627,PHX,OAK,7,1270,123,0
OO,3099,MKE,IND,5,460,64,0
AA,1264,DEN,DFW,4,440,125,
OO,6598,SMF,SFO,1,506,48,1
US,1471,CLT,TPA,5,1200,104,1
WN,4,PHX,SFO,3,680,140,1
YV,2859,FLG,PHX,2,680,65,0
B6,1017,BOS,JFK,4,1115,85,1
US,1044,TPA,PHL,6,985,151,1
OO,3073,STL,MKE,3,877,73,0
OO,6569,ORD,EAU,3,577,71,0
UA,558,DEN,TPA,6,760,206,0
WN,1166,BDL,BWI,3,955,75,0
B6,1417,AUS,LGB,7,1050,195,1
MQ,4206,CMI,ORD,6,485,65,0
MQ,4025,ORD,RST,1,695,70,0
XE,2060,IAH,CVG,6,1190,133,1
MQ,3015,LAX,SAN,3,715,45,1
DL,2041,SLC,LAX,1,1320,124,1
CO,1663,RSW,IAH,6,1085,160,1
XE,2649,IAH,LRD,3,565,75,0
XE,2737,GSP,EWR,7,1052,117,0
WN,676,CLE,LAS,5,910,290,1
XE,2531,EWR,MSY,3,400,214,1
DL,1023,CLT,ATL,2,712,83,1
WN,208,SNA,PHX,1,405,95,1
CO,1893,SMF,IAH,5,748,217,1
OO,6846,SBA,SFO,5,751,80,1
DL,1409,MSP,DEN,3,810,128,
WN,1669,PHX,SJC,5,600,120,1
YV,2612,CHS,CLT,2,1087,69,0
HA,157,OGG,HNL,1,735,34,1
DL,1885,LGA,MCO,7,929,184,0
YV,7245,ORD,DAY,1,786,70,0
XE,2429,IAH,MAF,5,683,88,1
XE,2375,GSO,IAH,5,385,184,0
WN,1836,STL,LIT,3,1185,65,1
AA,2028,STL,LGA,3,480,140,1
AA,356,ORD,LGA,4,995,130,1
AA,1247,ORD,LAX,3,690,265,1
AA,2059,DFW,SLC,3,1255,170,1
AA,1547,TPA,DFW,2,586,170,
OO,6218,LNK,DEN,1,412,97,
WN,1484,ORF,BWI,6,1010,55,0
XE,2145,OMA,IAH,1,840,139,1
AA,1847,DFW,DEN,1,685,125,
DL,2003,MSP,SMF,4,555,243,0
DL,1587,ATL,MCI,3,1139,148,1
OO,4701,SLC,LAX,3,585,119,0
WN,899,MCO,LAS,7,480,325,1
B6,1309,JFK,IAD,3,1050,82,0
US,855,TPA,DCA,4,1095,125,1
YV,7243,BTV,ORD,5,511,154,0
EV,5136,FAY,ATL,1,420,98,0
CO,270,IAH,SFO,3,685,255,1
FL,1297,MCO,DSM,7,775,180,
WN,1183,DEN,ABQ,3,1010,70,1
WN,220,BHM,HOU,3,380,115,0
DL,2263,JFK,LAX,2,1260,388,0
9E,3690,LAN,MSP,5,405,112,0
XE,2926,ATL,CLE,2,1065,108,0
CO,544,IAH,CLE,1,405,164,0
OH,6470,CVG,CLT,4,560,91,0
CO,433,LGA,IAH,6,800,241,1
OH,6628,DFW,CVG,3,420,133,0
CO,434,PHX,EWR,1,1415,264,0
WN,422,BWI,RSW,1,620,165,0
OO,4473,SLC,ABQ,6,920,103,1
WN,1134,MDW,ONT,2,705,265,1
WN,327,MDW,IAD,3,1230,110,1
US,1700,MIA,CLT,1,690,124,0
WN,3222,SDF,STL,1,1130,70,1
MQ,3903,CRW,ORD,7,1075,120,0
AA,2454,LAX,DFW,5,1005,180,
AA,2545,OMA,DFW,1,490,130,
F9,217,AUS,DEN,2,880,130,
WN,1380,MCO,RSW,6,600,50,0
AA,1885,DFW,FAT,5,660,215,1
DL,1990,MSY,ATL,4,750,93,1
F9,612,DEN,IND,4,1150,140,0
AA,1625,SJU,DFW,5,510,325,
WN,1128,MHT,PHL,2,830,95,1
OO,6553,PIA,ORD,1,566,49,1
WN,1115,MSP,DEN,7,680,135,
WN,767,DAL,SAT,5,810,65,0
WN,4,HOU,DAL,2,420,60,0
EV,4986,CVG,BWI,1,905,93,1
CO,254,SFO,CLE,5,740,270,0
EV,7085,CHS,IAD,7,874,94,0
MQ,3562,CLE,DFW,3,1115,185,
B6,477,BOS,LAX,4,520,391,1
WN,3141,BWI,JAX,5,665,130,0
AA,1912,PHX,DFW,2,425,140,
CO,319,TPA,EWR,7,515,155,1
DL,2005,CVG,SLC,4,1135,240,1
CO,1883,STT,EWR,3,815,264,1
OO,6835,SMF,LAX,2,642,83,0
DL,1481,JFK,PHX,5,1185,358,0
UA,267,ORD,DEN,3,720,163,
B6,479,BOS,LAX,1,1165,390,0
AA,521,MIA,DEN,6,945,265,
AA,806,DEN,DFW,5,720,115,
OH,6776,MCO,RDU,4,845,105,0
US,912,CLT,BWI,4,1200,83,1
9E,3662,CID,MSP,6,1020,75,0
MQ,3779,ORD,MSY,2,1165,140,1
MQ,2987,AGS,DFW,2,990,175,
US,113,LAS,LAX,1,1220,66,1
EV,5141,EVV,ATL,6,360,80,0
UA,970,SAN,IAD,5,465,292,0
WN,775,OAK,LAS,4,575,85,1
WN,488,LAX,SAT,7,490,165,1
AA,755,ORD,SAT,5,650,175,0
OO,6409,LAX,SBP,1,1161,54,1
9E,3798,LAN,DTW,2,350,59,1
FL,815,BWI,BOS,5,990,87,1
9E,4007,MEM,DAL,4,830,93,0
FL,1743,MCO,PIT,3,661,133,0
WN,2734,PDX,DEN,7,720,145,
OO,6451,LAX,SMX,1,1346,56,0
OO,6269,SFO,FAT,2,1275,55,1
US,399,CLT,LAS,5,800,298,1
XE,2132,IAH,LIT,2,460,78,0
US,396,LAS,PHX,7,1180,68,0
OO,6545,DEN,SBA,4,1102,151,0
AA,2243,PIT,DFW,2,745,190,
DL,2651,SLC,SMF,5,684,108,0
EV,4972,VPS,ATL,6,385,84,0
B6,449,BOS,FLL,2,488,205,0
XE,3116,IND,IAH,4,1000,160,1
9E,4003,MEM,OKC,6,815,101,0
WN,703,TUL,DEN,5,465,110,
XE,2080,CLE,LGA,7,455,92,0
DL,2003,MSP,SMF,1,555,243,1
MQ,4296,ORD,BWI,5,655,115,0
DL,2020,MEM,LGA,1,1135,159,0
9E,3805,MEM,SAT,2,555,129,0
OO,6691,GUC,DEN,2,439,57,
US,1656,BUF,CLT,4,380,116,0
OH,6497,BNA,MEM,5,690,69,0
XE,3022,IAH,GPT,6,1190,69,0
UA,741,MDT,ORD,5,990,130,0
WN,1593,PIT,TPA,1,1020,155,1
AA,1536,DFW,BHM,6,575,95,0
9E,3878,CVG,SBN,5,1230,56,1
EV,5478,ATL,CAE,3,1150,66,0
EV,7110,IAD,PWM,6,1020,92,0
EV,5351,BWI,MEM,7,1028,161,1
WN,2006,PIT,PHL,1,785,75,1
OO,4774,ABQ,SLC,6,520,101,0
AA,1919,ATL,DFW,1,1000,150,
AA,1197,DFW,SAT,7,1125,65,0
WN,540,SAN,PHX,2,595,70,1
OO,6642,RNO,SFO,7,360,69,1
DL,1155,ATL,JAX,7,1306,71,1
AS,190,FAI,ANC,4,1050,62,0
AA,246,KOA,LAX,3,1365,310,0
9E,3805,CLE,MEM,3,435,144,0
9E,3829,DTW,BTV,1,610,104,1
CO,226,IAH,BWI,4,610,170,1
DL,2451,IAD,ATL,3,1130,122,1
YV,2628,CLT,DTW,6,880,110,0
OH,6468,JFK,BOS,7,1130,93,0
UA,139,LAX,MSY,5,1113,222,0
XE,2577,CHS,IAH,6,1055,170,1
US,867,SYR,PHL,6,445,84,0
US,1509,TPA,CLT,3,515,100,1
F9,260,DEN,SNA,4,780,140,0
AA,1412,MIA,JFK,3,1260,175,0
UA,991,IAD,ORD,2,475,130,1
OH,6709,ORF,CVG,3,1055,122,1
EV,5429,ATL,MLU,4,1238,97,1
9E,3923,IAH,MEM,1,360,98,1
XE,2815,LCH,IAH,4,405,49,1
MQ,4330,CVG,ORD,2,960,80,0
AA,863,MIA,SJU,2,760,145,1
DL,1206,IAH,ATL,7,1079,131,1
UA,736,SFO,LAS,6,360,98,0
9E,3746,BHM,DTW,4,670,130,0
MQ,4661,LGA,ATL,4,1019,161,0
WN,1234,PDX,OAK,1,615,100,0
DL,1501,BOS,ATL,5,435,190,0
DL,2652,TPA,LGA,1,920,159,0
WN,1469,SAN,SMF,6,1040,95,1
OO,6423,SEA,PDX,4,1240,46,1
MQ,2825,DFW,TUL,2,455,60,0
DL,1194,DTW,CLT,4,1042,112,1
OO,6596,SFO,MFR,4,807,96,0
DL,2914,SEA,MSP,6,425,200,1
DL,1748,DTW,LGA,3,535,119,1
9E,4339,RDU,TPA,1,580,120,1
WN,321,RNO,LAS,7,765,75,1
F9,765,DEN,LAS,7,490,114,1
HA,362,HNL,ITO,5,1100,51,0
AA,656,DFW,BWI,2,1275,160,1
UA,481,DEN,IAD,7,835,197,0
AA,2282,SFO,DFW,3,795,210,
DL,1568,LAX,MSP,7,1130,209,1
OO,7032,YUM,LAX,1,926,80,0
EV,5028,ATL,TLH,2,666,71,0
EV,5193,LIT,ATL,2,605,94,0
MQ,4080,ORD,FAR,1,575,120,0
WN,1,DAL,HOU,4,420,60,0
OO,6825,SFO,RDD,1,1290,69,0
FL,866,MCO,ATL,3,962,93,0
OO,4659,BIL,SLC,5,788,82,0
UA,642,JFK,SFO,3,679,401,1
FL,1180,BUF,MCO,7,991,165,0
DL,2592,PHX,MSP,5,980,185,0
WN,2306,RDU,TPA,6,480,115,1
UA,593,DEN,SNA,2,1277,145,0
MQ,3041,LAX,SAN,3,600,40,0
EV,7103,BUF,ORD,4,360,109,0
EV,7080,IAD,CAE,5,491,87,1
WN,325,LAS,CMH,7,550,230,1
UA,828,DEN,EWR,7,1080,215,0
OH,6585,ATW,DTW,1,1100,89,
US,1644,TPA,PHL,7,375,146,0
YV,2605,MYR,CLT,4,330,62,0
US,1411,BDL,CLT,7,500,143,0
FL,467,BWI,ATL,3,872,122,0
YV,2861,PHX,FLG,7,1068,60,1
AA,1033,MIA,ORD,3,965,210,0
DL,2836,HNL,MSP,4,1120,465,1
WN,1500,PHL,MCO,7,560,160,0
US,1606,PHL,DTW,5,1240,108,
AA,878,DFW,EWR,1,975,210,0
WN,1636,DAL,MCI,4,470,85,1
WN,1999,FLL,BWI,4,970,155,1
WN,595,MDW,SDF,2,985,70,1
AA,1231,PHL,ORD,4,990,150,1
WN,3323,MDW,DEN,2,730,165,
WN,500,LAX,HOU,1,515,190,1
UA,465,TPA,DEN,2,1115,246,
XE,5920,CLE,IAD,7,1201,74,1
AA,539,DFW,LAS,4,1095,180,0
WN,2160,MDW,RNO,6,720,265,1
OO,4873,COS,SLC,7,1140,102,0
DL,1582,MDW,ATL,7,674,116,1
DL,240,MIA,ATL,5,766,119,0
YV,2624,BUF,CLT,6,705,115,0
AA,2470,LAX,DFW,2,1140,165,
9E,3955,LBB,MEM,1,355,120,0
OH,6421,EWR,CVG,7,385,131,0
WN,9,OKC,DAL,3,460,55,1
AA,1719,STL,LAX,6,830,250,0
F9,626,DTW,DEN,6,974,191,
AA,1103,ORD,STL,3,590,65,1
AS,14,SEA,EWR,2,905,307,0
OH,6755,BOS,RDU,1,450,140,0
EV,5144,GNV,ATL,4,871,79,0
CO,322,MSY,IAH,7,495,72,0
CO,1644,IAH,SMF,2,1255,249,1
WN,2725,PIT,TPA,5,420,155,0
US,1852,CLT,BWI,5,475,81,1
WN,831,PDX,GEG,5,965,60,0
WN,596,BWI,PVD,2,1000,70,1
WN,685,MDW,BDL,1,560,125,0
AA,1965,DFW,SFO,2,535,240,0
WN,3106,BWI,ISP,5,1175,60,1
MQ,3766,ORD,DEN,6,955,155,
B6,1212,BUF,BOS,2,425,86,0
MQ,4282,ORD,BDL,4,490,130,1
DL,2461,PHL,ATL,6,765,140,0
B6,1085,JFK,CLT,6,990,131,1
OH,6286,LGA,CVG,3,629,148,0
DL,2453,LGA,TPA,7,839,182,0
DL,680,ATL,EWR,1,455,132,0
XE,2611,SDF,IAH,7,1134,149,0
XE,2166,LEX,IAH,3,1075,150,1
AS,233,SAN,SEA,5,1025,170,0
WN,2963,SFO,SAN,2,705,85,0
MQ,4524,BNA,DCA,1,825,95,0
WN,1372,RDU,LAS,4,920,320,1
WN,838,MCI,DEN,4,985,115,
FL,1945,BWI,SJU,5,510,249,0
MQ,4155,ORD,DTW,2,775,80,0
WN,692,OAK,SEA,4,1210,120,1
WN,824,LAX,STL,7,405,210,0
F9,173,DEN,TUS,2,1270,113,0
DL,1090,ATL,IND,2,730,96,1
B6,677,JFK,LAX,6,1114,376,0
XE,3073,CLE,GRR,5,1040,60,1
DL,2533,BOS,MCO,2,420,207,1
XE,2558,EWR,OMA,4,1270,202,1
WN,821,LAS,FLL,4,575,275,1
MQ,3659,MIA,GSO,1,1185,125,1
UA,568,ORD,SJU,4,496,275,0
DL,1310,IND,DTW,3,1040,85,
WN,287,AUS,OAK,3,790,240,1
WN,3050,LAS,BUF,3,995,260,1
AS,631,TUS,SEA,7,1005,190,0
CO,1790,IAH,MIA,5,810,146,0
WN,219,MDW,LGA,7,865,130,1
WN,15,DAL,HOU,1,600,65,0
AA,821,JFK,FLL,1,935,205,0
AS,371,SMF,SEA,4,420,115,0
WN,570,LAS,SFO,2,1140,95,1
WN,1866,LAX,SJC,3,475,65,1
AA,462,MSY,MIA,4,760,105,1
FL,703,ATL,DAY,1,996,91,0
EV,7134,IAD,LGA,1,1040,83,0
OO,6331,DEN,GUC,5,1167,48,1
WN,1833,BWI,JAX,5,605,130,1
9E,3912,ICT,MEM,5,720,93,0
EV,5062,ATL,GSO,5,487,73,0
OO,6534,IDA,DEN,6,813,89,
YV,2897,DRO,PHX,1,1064,80,0
OH,6770,IND,DCA,5,370,100,
EV,5291,ATL,ECP,4,570,73,0
9E,3719,MSN,DTW,4,830,88,
WN,3567,BWI,CLE,3,875,75,1
FL,949,BWI,ROC,3,1300,70,1
AS,553,PSP,SEA,7,1125,164,1
OO,6463,SMF,LAX,2,360,95,0
FL,215,MKE,RSW,3,530,178,0
OO,4708,LAX,SLC,3,1275,114,1
OO,4478,FAR,MSP,5,425,75,0
EV,7119,SAV,IAD,6,872,103,1
US,912,CLT,BWI,1,1205,83,0
OO,6921,DEN,MKE,3,611,143,0
US,1050,CLT,LGA,1,480,104,1
AA,1877,CLT,DFW,3,1160,180,
OH,6623,LGA,MCI,3,445,210,0
CO,534,IAH,PIT,4,795,160,1
EV,7080,IAD,CAE,4,491,87,1
XE,2194,GSO,IAH,2,1085,177,1
OO,4740,MSP,LSE,4,1325,50,1
US,1267,BOS,PHL,3,330,84,1
AA,1140,DFW,ATL,1,475,125,1
MQ,3325,DSM,DFW,2,360,130,
WN,1045,SAN,SMF,7,1260,95,1
CO,816,EWR,MSY,4,1215,218,1
EV,7340,DCA,JAX,6,779,126,0
UA,736,SFO,LAS,5,360,98,0
MQ,3919,LIT,ORD,7,840,115,0
FL,63,IAD,ATL,6,662,115,1
WN,1533,ABQ,ELP,3,1085,55,1
WN,490,HOU,AUS,4,1215,45,1
MQ,2854,DFW,GRK,7,1100,50,1
CO,1534,TPA,CLE,3,1060,145,0
AS,565,LAX,PDX,3,1050,147,0
WN,2009,MCI,STL,4,550,60,0
DL,2824,MSP,RDU,3,1145,146,0
AA,202,LAX,MIA,4,430,285,0
AA,1430,DFW,TPA,5,475,135,0
MQ,4258,GRR,ORD,1,1205,80,0
US,1783,CLT,LAS,6,480,301,0
MQ,4080,ORD,FAR,2,575,120,0
WN,2466,PDX,OAK,2,910,100,1
XE,3060,IAH,OKC,5,620,80,1
US,758,ORD,PHL,4,710,115,1
AS,490,SEA,SAN,1,647,157,0
WN,1634,HOU,SAT,6,1115,55,1
9E,3751,DTW,EVV,1,545,98,0
OO,4685,RAP,MSP,4,600,90,1
UA,394,LAS,ORD,7,375,216,0
US,1096,PHL,RDU,5,939,86,0
DL,2656,MSY,LGA,4,1030,170,0
DL,1784,ATL,IAD,3,980,110,1
EV,4954,BTR,ATL,3,882,88,0
CO,408,IAH,EWR,6,470,197,1
XE,2658,DFW,CLE,3,1160,145,0
B6,585,HPN,FLL,4,705,179,1
WN,853,LAS,AUS,2,565,150,1
WN,856,DEN,SFO,3,965,165,1
US,1276,PHL,IND,2,1075,127,0
OO,6947,PDX,SEA,3,690,54,1
AS,5,DCA,LAX,2,550,355,0
XE,2641,MCI,IAH,6,685,122,1
WN,521,STL,MDW,1,780,60,1
EV,5572,ATL,BTR,7,725,94,1
YV,2717,PHX,MCI,7,795,156,0
MQ,3373,CRP,DFW,4,495,80,
B6,291,SEA,LGB,3,638,154,1
AS,64,WRG,KTN,4,1000,39,0
US,274,PHX,IAH,5,599,164,1
DL,1706,LAX,DTW,7,688,267,
FL,131,ATL,TPA,1,1330,82,0
AS,67,SIT,JNU,1,1125,40,1
F9,38,SEA,DEN,2,375,154,
OH,6320,ATL,GSO,4,1135,86,0
WN,1486,OKC,PHX,3,1005,150,1
WN,1235,BWI,ABQ,5,770,280,1
9E,3654,MSP,FNT,5,1160,90,0
XE,2988,IAH,ATL,3,700,118,1
YV,1017,KOA,HNL,7,975,40,1
AA,1427,TPA,DFW,4,1110,175,
B6,968,LAX,JFK,5,1360,311,1
OO,6538,DEN,IDA,7,1303,98,0
AS,478,SEA,LAX,1,1185,155,1
DL,2640,LAS,SLC,5,995,77,0
MQ,3534,LIT,DFW,5,390,80,
UA,645,SJU,ORD,7,935,320,0
MQ,3990,ORD,DAY,1,860,70,1
HA,245,OGG,HNL,4,872,34,0
9E,4187,MEM,DAL,5,1185,94,0
UA,636,ORD,PIT,5,391,88,0
YV,2817,LAX,LAS,5,1195,64,0
WN,3655,STL,OKC,2,1195,95,0
EV,5072,ATL,BMI,3,891,105,0
OO,4612,SLC,ABQ,2,656,102,0
XE,3112,CLE,PVD,5,1175,93,0
WN,1202,FLL,BDL,7,800,185,1
CO,1580,SEA,EWR,5,390,309,1
FL,703,ATL,DAY,3,1010,82,0
UA,456,MSP,DEN,3,557,145,
US,1021,LGA,CLT,1,495,127,0
OO,6522,LAX,PHX,5,761,79,0
US,1250,MCO,PHL,5,725,143,0
OH,6461,BOS,JFK,1,450,87,0
AA,880,DFW,OMA,4,1290,105,0
DL,2376,SNA,MSP,3,470,220,1
WN,24,HOU,DAL,3,720,55,1
FL,803,BWI,BOS,1,1130,84,1
DL,2072,ATL,MSP,5,960,165,1
DL,1185,EWR,SLC,7,1044,314,1
MQ,3632,CLT,MIA,4,350,120,0
AS,631,TUS,SEA,6,1005,190,0
DL,2806,SFO,MSP,1,360,222,0
B6,1790,DCA,BOS,3,390,85,0
WN,510,MDW,PDX,3,530,280,1
WN,1483,BUR,SJC,6,555,65,0
UA,590,ORD,BDL,7,786,128,0
UA,627,DCA,ORD,1,1065,132,1
US,493,PHX,DEN,1,1190,110,
OO,6272,LMT,SFO,2,1065,95,1
EV,4952,ATL,SAV,5,660,71,0
MQ,3692,MIA,RIC,6,730,140,1
OO,6636,GJT,DEN,6,810,57,
WN,1760,HOU,TUL,1,865,80,1
WN,597,DEN,OKC,1,850,85,1
WN,770,AUS,BWI,3,390,180,1
XE,2953,OKC,IAH,3,993,87,0
9E,4391,MBS,DTW,2,351,59,
CO,378,SAT,IAH,4,410,56,1
OO,6559,PDX,SEA,5,947,50,0
MQ,4182,ORD,ABE,7,540,115,1
AA,559,ATL,DFW,5,1085,155,
MQ,3302,MLI,DFW,2,380,140,
CO,652,IAH,SLC,3,1085,197,1
WN,2984,PHX,LAX,4,430,85,0
WN,2446,CMH,BWI,3,890,70,1
DL,1953,MSP,SEA,2,1295,223,1
HA,40,OGG,PDX,7,855,315,1
WN,1650,MSY,BWI,6,430,140,0
UA,170,LAX,SFO,1,1060,89,1
DL,1628,MEM,ATL,5,1110,85,0
WN,2283,SLC,DEN,6,725,90,
YV,2612,CHS,CLT,2,1087,69,0
WN,767,LAS,SMF,2,995,90,1
YV,1039,ITO,HNL,7,1020,47,1
WN,852,SEA,PHX,3,750,170,1
AA,1820,IAH,DFW,5,725,65,
DL,1240,ATL,SDF,2,1218,82,1
DL,2710,DFW,ATL,4,345,129,0
DL,117,ATL,TPA,6,1066,90,0
DL,2839,ATL,MTJ,3,615,241,0
FL,557,BUF,ATL,5,345,150,0
WN,3425,ELP,DAL,7,985,95,1
UA,263,MSY,LAX,6,1168,262,0
OH,6671,DTW,CVG,4,824,76,0
OO,6623,SBA,SFO,5,936,80,0
MQ,3764,ORD,PHL,2,730,120,0
WN,326,TPA,PBI,2,1035,55,0
XE,5984,ORD,GRR,1,538,48,1
DL,1244,FLL,JFK,2,510,173,1
DL,2078,AUS,DTW,3,525,174,
F9,787,DEN,LAS,5,1005,114,1
B6,503,EWR,FLL,4,586,197,0
YV,7260,ALB,IAD,3,1174,88,1
MQ,2872,DFW,LBB,1,705,70,0
OO,4576,PHX,SLC,2,1150,103,1
DL,1574,SAV,ATL,4,510,84,0
MQ,4475,DCA,RDU,4,525,65,0
MQ,3315,DFW,JAN,2,400,80,0
WN,3063,LIT,DAL,5,850,65,1
AA,1005,FLL,ORD,7,1230,190,0
HA,544,HNL,OGG,2,966,37,0
9E,4025,ALB,DTW,5,965,118,
WN,324,DEN,MCI,1,620,90,0
XE,5933,ORD,LEX,4,786,75,1
OO,6459,SFO,GEG,7,1307,121,0
B6,562,FLL,SWF,3,1165,171,1
OO,6932,SBA,SFO,6,744,80,1
9E,4035,MKE,CVG,1,1035,81,0
AA,1099,DFW,ABQ,5,615,115,1
WN,703,DTW,BNA,3,400,105,1
AS,851,SEA,HNL,3,540,376,1
XE,5988,ORD,SDF,4,1287,73,1
WN,987,PHX,SNA,3,430,80,1
MQ,3220,PNS,DFW,4,840,125,
WN,1431,BHM,TPA,5,465,85,1
AA,1725,IND,DFW,4,1175,145,
AA,1165,PHL,DFW,6,905,235,
MQ,3879,ORD,DCA,6,905,105,
UA,695,LGA,ORD,5,1204,165,0
AA,726,DFW,LGA,5,690,195,0
OH,6643,BOS,DCA,5,395,110,
UA,815,OMA,DEN,1,1168,107,
DL,2320,PBI,ATL,3,350,115,0
