,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
11186,A,1,3,3,ERRORABC123!?,ERRORABC123!?,6,3,ERRORABC123!?,2,5,ERRORABC123!?,8,ERRORABC123!?,6,ERRORABC123!?,7
11187,ERRORABC123!?,4,6,4,4,ERRORABC123!?,8,ERRORABC123!?,8,6,9,4,7,3,8,3,ERRORABC123!?
11188,L,ERRORABC123!?,ERRORABC123!?,4,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8
11189,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,5,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,3,ERRORABC123!?,5,7
11190,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,12,4,3,11,11,ERRORABC123!?,ERRORABC123!?,10,1,7
11191,M,ERRORABC123!?,6,ERRORABC123!?,4,5,ERRORABC123!?,ERRORABC123!?,2,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,2,8
11192,ERRORABC123!?,5,9,7,6,4,8,9,2,ERRORABC123!?,14,5,ERRORABC123!?,2,9,3,8
11193,Q,7,ERRORABC123!?,10,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,5,ERRORABC123!?,7,6
11194,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,3,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,3,ERRORABC123!?,4,8
11195,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,5,6,8,ERRORABC123!?,6,7,6,9,3,9,ERRORABC123!?,10
11196,ERRORABC123!?,4,ERRORABC123!?,4,4,3,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,8,11,ERRORABC123!?,8,4,10
11197,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,5,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,7,ERRORABC123!?,10,ERRORABC123!?,10,8,7
11198,M,ERRORABC123!?,3,4,2,2,6,ERRORABC123!?,3,4,ERRORABC123!?,9,9,5,5,1,7
11199,ERRORABC123!?,4,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,4,4,8,ERRORABC123!?,5,4,ERRORABC123!?,8,6
11200,M,ERRORABC123!?,3,ERRORABC123!?,2,ERRORABC123!?,6,6,ERRORABC123!?,ERRORABC123!?,7,7,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
11201,ERRORABC123!?,5,ERRORABC123!?,8,ERRORABC123!?,10,7,6,ERRORABC123!?,ERRORABC123!?,7,5,ERRORABC123!?,9,6,10,10
11202,ERRORABC123!?,6,8,8,ERRORABC123!?,5,8,8,6,6,8,7,7,4,6,4,ERRORABC123!?
11203,L,3,ERRORABC123!?,ERRORABC123!?,5,4,ERRORABC123!?,7,4,ERRORABC123!?,6,6,ERRORABC123!?,2,8,ERRORABC123!?,ERRORABC123!?
11204,X,2,6,ERRORABC123!?,ERRORABC123!?,2,7,ERRORABC123!?,4,ERRORABC123!?,7,6,7,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?
11205,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,8,5,6,8,ERRORABC123!?,ERRORABC123!?,10,8,9,3,7,ERRORABC123!?,9
11206,U,ERRORABC123!?,9,6,6,4,3,9,ERRORABC123!?,6,10,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?
11207,Z,ERRORABC123!?,8,6,6,ERRORABC123!?,ERRORABC123!?,8,2,9,ERRORABC123!?,7,8,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?
11208,L,2,5,3,4,ERRORABC123!?,ERRORABC123!?,4,1,ERRORABC123!?,8,2,ERRORABC123!?,0,ERRORABC123!?,2,ERRORABC123!?
11209,ERRORABC123!?,ERRORABC123!?,0,2,1,1,7,6,10,0,ERRORABC123!?,8,8,6,6,0,ERRORABC123!?
11210,ERRORABC123!?,3,9,4,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,7,ERRORABC123!?,7,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,8
11211,ERRORABC123!?,4,9,4,4,2,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,7,2,ERRORABC123!?,2,ERRORABC123!?,5,8
11212,X,5,ERRORABC123!?,6,8,2,7,ERRORABC123!?,5,4,7,6,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,8
11213,F,ERRORABC123!?,9,6,ERRORABC123!?,ERRORABC123!?,5,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,6
11214,S,4,9,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,8,2,ERRORABC123!?,3,ERRORABC123!?,5,8
11215,ERRORABC123!?,ERRORABC123!?,3,4,ERRORABC123!?,2,7,ERRORABC123!?,3,6,10,6,8,3,8,ERRORABC123!?,7
11216,ERRORABC123!?,4,8,5,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,9,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?
11217,P,8,13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,10,5,3,ERRORABC123!?,5,4,4,10,ERRORABC123!?,ERRORABC123!?
11218,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,3,ERRORABC123!?,7,6,10,ERRORABC123!?,ERRORABC123!?,7,6
11219,A,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,2,2,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,2,8
11220,C,ERRORABC123!?,9,4,ERRORABC123!?,1,ERRORABC123!?,8,6,ERRORABC123!?,11,ERRORABC123!?,9,2,9,5,ERRORABC123!?
11221,ERRORABC123!?,3,3,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,9,ERRORABC123!?,6,6,0,8,9,ERRORABC123!?
11222,V,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,12,2,3,6,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7
11223,ERRORABC123!?,5,8,5,ERRORABC123!?,3,ERRORABC123!?,13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,2,12,1,5
11224,U,9,ERRORABC123!?,8,8,4,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,8,ERRORABC123!?,7,5,ERRORABC123!?,6
11225,ERRORABC123!?,ERRORABC123!?,1,2,2,1,6,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,13,1,ERRORABC123!?,4,ERRORABC123!?
11226,ERRORABC123!?,ERRORABC123!?,9,5,7,3,9,ERRORABC123!?,0,ERRORABC123!?,13,5,8,0,8,1,ERRORABC123!?
11227,I,ERRORABC123!?,3,1,2,1,ERRORABC123!?,ERRORABC123!?,1,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,2,ERRORABC123!?
11228,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,8,0,ERRORABC123!?,9,ERRORABC123!?,5,4,ERRORABC123!?,7,4
11229,J,0,ERRORABC123!?,1,ERRORABC123!?,0,ERRORABC123!?,4,ERRORABC123!?,3,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?
11230,P,9,ERRORABC123!?,9,8,6,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,13,4,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
11231,W,3,1,ERRORABC123!?,2,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,8,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11232,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,5,4,4,10,3,2,ERRORABC123!?,8,7,ERRORABC123!?,11,2,6
11233,ERRORABC123!?,ERRORABC123!?,1,3,ERRORABC123!?,2,7,7,ERRORABC123!?,5,ERRORABC123!?,6,ERRORABC123!?,2,8,5,ERRORABC123!?
11234,ERRORABC123!?,ERRORABC123!?,12,5,ERRORABC123!?,4,9,8,ERRORABC123!?,4,12,4,ERRORABC123!?,4,11,5,ERRORABC123!?
11235,W,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,11,8,ERRORABC123!?,1,6,9,ERRORABC123!?,8,10,0,ERRORABC123!?
11236,U,ERRORABC123!?,10,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,4,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,8,10
11237,ERRORABC123!?,3,7,5,5,4,7,ERRORABC123!?,2,ERRORABC123!?,7,5,8,3,6,ERRORABC123!?,8
11238,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,3,4,ERRORABC123!?,4,8,5,8,ERRORABC123!?,8
11239,X,3,ERRORABC123!?,4,ERRORABC123!?,1,ERRORABC123!?,7,4,4,7,6,ERRORABC123!?,ERRORABC123!?,8,4,ERRORABC123!?
11240,ERRORABC123!?,5,8,ERRORABC123!?,7,ERRORABC123!?,7,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?
11241,ERRORABC123!?,8,15,6,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,6,ERRORABC123!?,ERRORABC123!?,9,8,8
11242,ERRORABC123!?,ERRORABC123!?,7,4,4,ERRORABC123!?,10,10,3,ERRORABC123!?,5,ERRORABC123!?,8,2,ERRORABC123!?,0,8
11243,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,6,ERRORABC123!?,6,11,4,8,ERRORABC123!?,7,1,ERRORABC123!?
11244,A,ERRORABC123!?,13,5,ERRORABC123!?,4,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,11,4,11,5,3,4,10
11245,M,ERRORABC123!?,ERRORABC123!?,4,2,ERRORABC123!?,8,6,7,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,8
11246,E,ERRORABC123!?,9,ERRORABC123!?,7,7,ERRORABC123!?,8,7,3,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
11247,L,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,6,ERRORABC123!?,5,6,ERRORABC123!?,8,3,ERRORABC123!?,7,9
11248,H,6,11,8,8,ERRORABC123!?,ERRORABC123!?,8,8,4,ERRORABC123!?,5,ERRORABC123!?,3,7,7,10
11249,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,3,6,8,2,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11250,ERRORABC123!?,3,ERRORABC123!?,4,2,1,4,ERRORABC123!?,3,2,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?
11251,M,ERRORABC123!?,10,6,8,4,7,ERRORABC123!?,ERRORABC123!?,2,7,9,8,9,ERRORABC123!?,0,8
11252,I,3,11,5,8,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,4,8,5,ERRORABC123!?,5,8,5,ERRORABC123!?
11253,ERRORABC123!?,2,0,ERRORABC123!?,1,1,7,8,ERRORABC123!?,0,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?
11254,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,6,ERRORABC123!?,3,8,ERRORABC123!?,8,4,ERRORABC123!?,10,9
11255,L,ERRORABC123!?,8,ERRORABC123!?,7,ERRORABC123!?,7,6,4,5,7,ERRORABC123!?,8,ERRORABC123!?,9,ERRORABC123!?,11
11256,Y,2,1,3,ERRORABC123!?,ERRORABC123!?,8,11,3,1,6,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,0,8
11257,ERRORABC123!?,5,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,5,8,ERRORABC123!?,3,ERRORABC123!?,7,8,5,9,5,7
11258,B,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,6,2,6,ERRORABC123!?,3,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11259,U,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,5,ERRORABC123!?,10,8,9,3,9,ERRORABC123!?,ERRORABC123!?
11260,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,3,7,7,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,3,ERRORABC123!?,3,ERRORABC123!?
11261,O,4,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,5,6,4,ERRORABC123!?,3,9,ERRORABC123!?,ERRORABC123!?
11262,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,2,ERRORABC123!?,12,ERRORABC123!?,1,ERRORABC123!?,0,8
11263,O,6,ERRORABC123!?,ERRORABC123!?,7,4,6,ERRORABC123!?,8,ERRORABC123!?,10,8,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
11264,X,ERRORABC123!?,ERRORABC123!?,6,4,ERRORABC123!?,10,7,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,9
11265,G,4,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,7,ERRORABC123!?,6,ERRORABC123!?,6,6,9,4,8,7,ERRORABC123!?
11266,W,6,9,8,ERRORABC123!?,6,ERRORABC123!?,8,ERRORABC123!?,1,7,9,ERRORABC123!?,8,ERRORABC123!?,0,ERRORABC123!?
11267,ERRORABC123!?,2,11,2,ERRORABC123!?,ERRORABC123!?,7,7,0,9,7,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,3,ERRORABC123!?
11268,L,3,3,4,4,ERRORABC123!?,1,0,6,6,0,1,ERRORABC123!?,ERRORABC123!?,8,0,8
11269,K,6,ERRORABC123!?,ERRORABC123!?,7,5,ERRORABC123!?,9,3,7,ERRORABC123!?,ERRORABC123!?,12,ERRORABC123!?,7,4,5
11270,ERRORABC123!?,ERRORABC123!?,9,7,ERRORABC123!?,ERRORABC123!?,7,12,ERRORABC123!?,2,11,5,3,2,12,ERRORABC123!?,8
11271,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,7,1,ERRORABC123!?,ERRORABC123!?,5,3,7,6,ERRORABC123!?,0,ERRORABC123!?,0,8
11272,A,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,2,6,2,9
11273,T,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,6,14,ERRORABC123!?,5,8,ERRORABC123!?,8,0,8,ERRORABC123!?,8
11274,I,2,8,ERRORABC123!?,ERRORABC123!?,2,7,ERRORABC123!?,ERRORABC123!?,7,12,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11275,ERRORABC123!?,5,11,ERRORABC123!?,8,6,4,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,1,ERRORABC123!?,3,8
11276,Q,ERRORABC123!?,9,5,11,6,8,ERRORABC123!?,8,ERRORABC123!?,5,ERRORABC123!?,9,3,ERRORABC123!?,6,10
11277,L,ERRORABC123!?,9,ERRORABC123!?,8,6,7,7,4,ERRORABC123!?,7,7,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?
11278,V,ERRORABC123!?,9,7,5,3,6,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,8,5,ERRORABC123!?,12,3,9
11279,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,9,3,ERRORABC123!?,11,ERRORABC123!?,9,5,8,1,ERRORABC123!?
11280,U,4,9,6,7,ERRORABC123!?,9,6,4,4,6,ERRORABC123!?,ERRORABC123!?,9,8,5,ERRORABC123!?
11281,G,2,3,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,5,4,9,7,9,ERRORABC123!?,9,4,ERRORABC123!?
11282,ERRORABC123!?,3,ERRORABC123!?,4,2,3,9,6,6,ERRORABC123!?,ERRORABC123!?,7,6,ERRORABC123!?,6,ERRORABC123!?,6
11283,ERRORABC123!?,3,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,7,8,8,8,ERRORABC123!?,0,8
11284,ERRORABC123!?,ERRORABC123!?,11,4,ERRORABC123!?,ERRORABC123!?,7,7,4,ERRORABC123!?,9,ERRORABC123!?,7,3,10,8,7
11285,ERRORABC123!?,3,2,3,4,1,3,7,7,ERRORABC123!?,7,7,11,ERRORABC123!?,8,3,10
11286,N,3,2,ERRORABC123!?,3,2,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,6,7,ERRORABC123!?,9,ERRORABC123!?,6
11287,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,5,4,8,7,2,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,4,9,4,9
11288,R,ERRORABC123!?,10,8,8,6,ERRORABC123!?,9,ERRORABC123!?,8,5,4,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
11289,I,1,6,ERRORABC123!?,8,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8
11290,R,ERRORABC123!?,7,ERRORABC123!?,5,4,ERRORABC123!?,7,4,ERRORABC123!?,ERRORABC123!?,4,7,ERRORABC123!?,7,4,ERRORABC123!?
11291,ERRORABC123!?,4,ERRORABC123!?,5,5,4,6,ERRORABC123!?,6,ERRORABC123!?,10,8,ERRORABC123!?,1,10,4,6
11292,N,ERRORABC123!?,ERRORABC123!?,4,4,2,7,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,8
11293,X,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,8,ERRORABC123!?,4,9,6,ERRORABC123!?,ERRORABC123!?,3,8,6,ERRORABC123!?
11294,H,ERRORABC123!?,10,10,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,6,ERRORABC123!?,4,7,ERRORABC123!?,8,3,9
11295,ERRORABC123!?,9,10,9,8,5,ERRORABC123!?,7,ERRORABC123!?,9,9,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,2
11296,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,2,ERRORABC123!?,6,2,7,12,3,7,0,ERRORABC123!?,ERRORABC123!?,8
11297,X,4,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,7,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,8,3,ERRORABC123!?,ERRORABC123!?,8
11298,W,4,9,ERRORABC123!?,7,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,8,8,ERRORABC123!?,10,ERRORABC123!?,8
11299,ERRORABC123!?,3,7,3,5,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,2,11
11300,ERRORABC123!?,3,ERRORABC123!?,4,ERRORABC123!?,1,4,8,7,2,ERRORABC123!?,5,11,3,8,3,ERRORABC123!?
11301,R,ERRORABC123!?,ERRORABC123!?,5,8,3,6,11,10,4,7,ERRORABC123!?,9,3,7,5,11
11302,B,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,5,ERRORABC123!?,7,ERRORABC123!?,4,6,ERRORABC123!?,6,3,8,ERRORABC123!?,ERRORABC123!?
11303,N,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,10,5,6,ERRORABC123!?,ERRORABC123!?,1,7
11304,B,3,6,4,4,4,8,8,6,6,7,ERRORABC123!?,6,2,ERRORABC123!?,6,ERRORABC123!?
11305,V,6,10,8,ERRORABC123!?,5,ERRORABC123!?,11,3,2,8,11,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11306,R,7,ERRORABC123!?,6,7,5,ERRORABC123!?,8,ERRORABC123!?,5,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11
11307,P,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,12,7,ERRORABC123!?,0,ERRORABC123!?,3,ERRORABC123!?
11308,ERRORABC123!?,ERRORABC123!?,5,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,10,7,7,ERRORABC123!?,7,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11309,T,6,8,6,6,3,ERRORABC123!?,12,ERRORABC123!?,8,ERRORABC123!?,9,ERRORABC123!?,1,ERRORABC123!?,2,ERRORABC123!?
11310,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,7,2,6,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,6,ERRORABC123!?,9
11311,ERRORABC123!?,6,10,6,5,3,ERRORABC123!?,4,4,ERRORABC123!?,10,4,ERRORABC123!?,3,ERRORABC123!?,6,13
11312,ERRORABC123!?,2,1,ERRORABC123!?,2,1,ERRORABC123!?,6,7,4,ERRORABC123!?,6,ERRORABC123!?,3,ERRORABC123!?,3,8
11313,ERRORABC123!?,1,0,1,ERRORABC123!?,0,8,ERRORABC123!?,4,6,ERRORABC123!?,6,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,8
11314,ERRORABC123!?,ERRORABC123!?,8,6,6,6,7,7,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,8,5,ERRORABC123!?,5,6
11315,ERRORABC123!?,3,8,ERRORABC123!?,6,3,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,3,6
11316,Y,1,3,3,2,1,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,7,11,8,1,ERRORABC123!?,1,8
11317,ERRORABC123!?,ERRORABC123!?,11,10,ERRORABC123!?,7,7,ERRORABC123!?,2,3,ERRORABC123!?,9,8,12,11,2,7
11318,G,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,7,7,8,ERRORABC123!?,6,ERRORABC123!?,8,2,7,6,ERRORABC123!?
11319,M,2,ERRORABC123!?,3,2,2,8,ERRORABC123!?,ERRORABC123!?,4,6,7,ERRORABC123!?,ERRORABC123!?,6,1,7
11320,W,6,ERRORABC123!?,8,6,ERRORABC123!?,8,6,ERRORABC123!?,2,7,ERRORABC123!?,ERRORABC123!?,6,8,4,7
11321,R,2,ERRORABC123!?,3,4,2,6,ERRORABC123!?,9,4,7,ERRORABC123!?,ERRORABC123!?,2,7,5,11
11322,D,5,7,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,5,8,ERRORABC123!?,5,4,ERRORABC123!?,3,ERRORABC123!?
11323,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,6,8,ERRORABC123!?,2,8,10,4,9,4,ERRORABC123!?,ERRORABC123!?,9
11324,B,ERRORABC123!?,ERRORABC123!?,3,1,1,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,2,9
11325,O,ERRORABC123!?,7,4,5,3,7,8,8,4,7,ERRORABC123!?,ERRORABC123!?,3,8,ERRORABC123!?,ERRORABC123!?
11326,K,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,8,4,ERRORABC123!?
11327,G,2,1,2,2,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,6,5,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,10
11328,X,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,2,ERRORABC123!?,7,ERRORABC123!?,4,7,ERRORABC123!?,8,3,8,4,8
11329,C,3,7,4,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,10,10,ERRORABC123!?,13,ERRORABC123!?,10,4,9
11330,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,7,11,2,ERRORABC123!?,ERRORABC123!?,10
11331,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,7,7,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,3,8
11332,I,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,3,11,4,ERRORABC123!?,5,12,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10
11333,P,2,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,7,10,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?
11334,O,ERRORABC123!?,ERRORABC123!?,3,2,1,7,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8,3,7
11335,Y,ERRORABC123!?,ERRORABC123!?,9,11,11,8,11,3,4,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
11336,F,ERRORABC123!?,9,ERRORABC123!?,7,ERRORABC123!?,6,ERRORABC123!?,6,8,10,ERRORABC123!?,5,2,ERRORABC123!?,4,ERRORABC123!?
11337,G,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,4,5,7,5,6,9,8,ERRORABC123!?,2,ERRORABC123!?,5,9
